ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"98.175.31.195","elite","AS22773","US","Cox Communications Inc.","149","Cox Communications Inc","4145","socks5","1346","1","2023-04-07T22:06:27.158Z","88","1139","1301"
"50.236.203.15","anonymous","AS7922","US","Comcast Cable Communications, LLC","103","Comcast Cable Communications, LLC","8080","http","1454","857","2023-04-07T22:06:27.543Z","100","1301","1301"
"173.82.45.77","elite","AS35916","US","Multacom Corporation","143","Multacom Corporation","36538","socks4","1260","1","2023-04-07T22:06:26.337Z","85","1177","1385"
"104.255.170.68","elite","AS397373","US","H4Y Technologies LLC","156","N/A","50109","socks5","1248","1","2023-04-07T22:06:26.338Z","100","1378","1382"
"24.147.144.221","elite","AS7922","US","Comcast Cable Communications","105","Comcast Cable Communications Holdings, Inc","15280","socks5","1520","1","2023-04-07T22:06:25.523Z","100","1337","1338"
"45.77.4.241","elite","AS20473","US","The Constant Company","140","Vultr Holdings, LLC","9050","socks5","1284","1","2023-04-07T22:06:25.918Z","90","1222","1361"
"69.161.21.126","elite","AS7782","US","Alaska Communications Systems Group, Inc.","190","Alaska Communications Systems Group, Inc.","3128","socks4","1232","1","2023-04-07T22:06:23.456Z","100","1354","1356"
"174.64.199.82","elite","AS22773","US","Cox Communications Inc.","148","Cox Communications Inc.","4145","socks5","1277","1","2023-04-07T22:06:22.151Z","89","1153","1301"
"72.195.34.58","elite","AS22773","US","Cox Communications Inc.","148","Cox Communications","4145","socks5","1312","1","2023-04-07T22:06:22.578Z","87","1132","1301"
"43.153.90.161","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","151","Tencent Cloud Computing","443","socks4","1258","1","2023-04-07T22:06:21.071Z","63","860","1370"
"34.110.251.255","anonymous","AS396982","US","Google LLC","1","Google Cloud","80","http","1366","738","2023-04-07T22:06:21.290Z","100","1416","1416"
"173.195.27.144","elite","AS11976","US","Fidelity Communication International Inc.","115","Fidelity Communication International Inc.","10091","socks4","1308","1","2023-04-07T22:06:20.241Z","100","1391","1391"
"23.225.129.130","elite","AS132839","US","POWER LINE (HK) CO., LIMITED","237","CloudRadium L.L.C","39877","socks5","1346","1","2023-04-07T22:06:19.912Z","96","1345","1399"
"75.119.203.166","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32238","socks5","1304","1","2023-04-07T22:06:18.215Z","100","1402","1402"
"75.119.202.151","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","15745","socks4","1211","1","2023-04-07T22:06:17.410Z","100","1389","1389"
"38.127.173.165","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks4","1366","1","2023-04-07T22:06:17.811Z","100","1347","1349"
"157.185.178.152","elite","AS54994","US","Quantil Networks Inc","112","Hong Kong Seaga Technology Limited","26589","socks5","1278","1","2023-04-07T22:06:17.023Z","100","1293","1294"
"66.135.227.181","elite","AS21686","US","SystemMetrics Corporation","329","SystemMetrics Corporation","4145","socks5","1358","1","2023-04-07T22:06:15.366Z","98","1327","1360"
"198.12.154.22","elite","AS26496","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","28057","socks4","1434","1","2023-04-07T22:06:15.036Z","100","1383","1385"
"134.73.184.238","anonymous","AS46573","US","LayerHost","168","ELIDC","25283","https","1485","881","2023-04-07T22:06:15.038Z","99","1394","1406"
"31.204.28.96","elite","AS207710","US","SIA \"Singularity Telecom\"","144","Popov Andry Vasilievich","5432","socks5","1456","1","2023-04-07T22:06:13.346Z","100","1355","1358"
"205.207.101.177","anonymous","AS63060","US","ALTIUS Broadband, LLC","82","Altius Broadband, LLC","8282","http","1392","1021","2023-04-07T22:06:12.454Z","79","1093","1381"
